time,lat,lon,pre
1901-09-16,4.75,-74.25,91.200005
1901-09-16,4.75,-73.75,54.0
1901-09-16,4.75,-73.25,214.6
1901-09-16,5.25,-74.75,138.0
1901-09-16,5.25,-74.25,131.2
1901-09-16,5.25,-73.75,45.4
1901-09-16,5.25,-73.25,72.4
1901-10-16,3.75,-74.75,339.80002
1901-10-16,3.75,-74.25,231.1
1901-10-16,3.75,-73.75,692.7
1901-10-16,3.75,-73.25,413.4
1901-10-16,4.25,-74.75,361.1
1901-10-16,4.25,-74.25,198.8
1901-10-16,4.25,-73.75,455.5
1901-10-16,4.25,-73.25,492.30002
1901-10-16,4.75,-74.75,336.5
1901-10-16,4.75,-74.25,201.6
1901-10-16,4.75,-73.75,168.40001
1901-10-16,4.75,-73.25,367.5
1901-10-16,5.25,-74.75,467.7
1901-10-16,5.25,-74.25,349.0
1901-10-16,5.25,-73.75,169.6
1901-10-16,5.25,-73.25,156.3
1901-11-16,3.75,-74.75,478.1
1901-11-16,3.75,-74.25,233.1
1901-11-16,3.75,-73.75,727.8
1901-11-16,3.75,-73.25,311.30002
1901-11-16,4.25,-74.75,383.4
1901-11-16,4.25,-74.25,186.40001
1901-11-16,4.25,-73.75,395.80002
1901-11-16,4.25,-73.25,426.4
1901-11-16,4.75,-74.75,347.6
1901-11-16,4.75,-74.25,201.3
1901-11-16,4.75,-73.75,158.40001
1901-11-16,4.75,-73.25,292.4
1901-11-16,5.25,-74.75,461.1
1901-11-16,5.25,-74.25,355.9
1901-11-16,5.25,-73.75,163.0
1901-11-16,5.25,-73.25,135.6
1901-12-16,3.75,-74.75,144.5
1901-12-16,3.75,-74.25,41.600002
1901-12-16,3.75,-73.75,208.90001
1901-12-16,3.75,-73.25,60.4
1901-12-16,4.25,-74.75,101.4
1901-12-16,4.25,-74.25,39.8
1901-12-16,4.25,-73.75,101.200005
1901-12-16,4.25,-73.25,79.200005
1901-12-16,4.75,-74.75,90.9
1901-12-16,4.75,-74.25,52.600002
1901-12-16,4.75,-73.75,35.9
1901-12-16,4.75,-73.25,71.1
1901-12-16,5.25,-74.75,121.6
1901-12-16,5.25,-74.25,105.3
1901-12-16,5.25,-73.75,32.7
1901-12-16,5.25,-73.25,25.7
1902-01-16,3.75,-74.75,247.3
1902-01-16,3.75,-74.25,109.8
1902-01-16,3.75,-73.75,244.1
1902-01-16,3.75,-73.25,90.6
1902-01-16,4.25,-74.75,220.5
1902-01-16,4.25,-74.25,90.5
1902-01-16,4.25,-73.75,221.2
1902-01-16,4.25,-73.25,74.8
1902-01-16,4.75,-74.75,178.2
1902-01-16,4.75,-74.25,143.40001
1902-01-16,4.75,-73.75,67.9
1902-01-16,4.75,-73.25,97.4
1902-01-16,5.25,-74.75,212.0
1902-01-16,5.25,-74.25,261.0
1902-01-16,5.25,-73.75,60.2
1902-01-16,5.25,-73.25,32.2
1902-02-15,3.75,-74.75,68.4
1902-02-15,3.75,-74.25,35.600002
1902-02-15,3.75,-73.75,88.9
1902-02-15,3.75,-73.25,36.4
1902-02-15,4.25,-74.75,70.3
1902-02-15,4.25,-74.25,30.6
1902-02-15,4.25,-73.75,74.0
1902-02-15,4.25,-73.25,54.3
1902-02-15,4.75,-74.75,63.2
1902-02-15,4.75,-74.25,53.7
1902-02-15,4.75,-73.75,26.0
1902-02-15,4.75,-73.25,42.5
1902-02-15,5.25,-74.75,73.5
1902-02-15,5.25,-74.25,78.8
1902-02-15,5.25,-73.75,22.0
1902-02-15,5.25,-73.25,12.400001
1902-03-16,3.75,-74.75,305.7
1902-03-16,3.75,-74.25,184.40001
1902-03-16,3.75,-73.75,519.10004
1902-03-16,3.75,-73.25,289.9
1902-03-16,4.25,-74.75,316.9
1902-03-16,4.25,-74.25,146.1
1902-03-16,4.25,-73.75,432.2
1902-03-16,4.25,-73.25,276.4
1902-03-16,4.75,-74.75,299.6
1902-03-16,4.75,-74.25,185.6
1902-03-16,4.75,-73.75,132.3
1902-03-16,4.75,-73.25,271.0
1902-03-16,5.25,-74.75,368.80002
1902-03-16,5.25,-74.25,315.4
1902-03-16,5.25,-73.75,128.0
1902-03-16,5.25,-73.25,83.9
1902-04-16,3.75,-74.75,149.8
1902-04-16,3.75,-74.25,98.4
1902-04-16,3.75,-73.75,387.80002
1902-04-16,3.75,-73.25,232.2
1902-04-16,4.25,-74.75,165.90001
1902-04-16,4.25,-74.25,84.700005
1902-04-16,4.25,-73.75,244.90001
1902-04-16,4.25,-73.25,265.9
1902-04-16,4.75,-74.75,134.8
1902-04-16,4.75,-74.25,95.1
1902-04-16,4.75,-73.75,86.6
1902-04-16,4.75,-73.25,184.8
1902-04-16,5.25,-74.75,161.2
1902-04-16,5.25,-74.25,166.3
1902-04-16,5.25,-73.75,75.700005
1902-04-16,5.25,-73.25,73.1
1902-05-16,3.75,-74.75,86.700005
1902-05-16,3.75,-74.25,82.4
1902-05-16,3.75,-73.75,289.80002
1902-05-16,3.75,-73.25,186.8
1902-05-16,4.25,-74.75,112.0
1902-05-16,4.25,-74.25,66.8
1902-05-16,4.25,-73.75,241.7
1902-05-16,4.25,-73.25,219.7
1902-05-16,4.75,-74.75,90.3
1902-05-16,4.75,-74.25,70.6
1902-05-16,4.75,-73.75,61.0
1902-05-16,4.75,-73.25,197.7
1902-05-16,5.25,-74.75,123.200005
1902-05-16,5.25,-74.25,120.9
1902-05-16,5.25,-73.75,44.3
1902-05-16,5.25,-73.25,70.0
1902-06-16,3.75,-74.75,45.9
1902-06-16,3.75,-74.25,67.4
1902-06-16,3.75,-73.75,231.6
1902-06-16,3.75,-73.25,152.0
1902-06-16,4.25,-74.75,50.7
1902-06-16,4.25,-74.25,49.4
1902-06-16,4.25,-73.75,226.3
1902-06-16,4.25,-73.25,176.3
1902-06-16,4.75,-74.75,43.4
1902-06-16,4.75,-74.25,35.0
1902-06-16,4.75,-73.75,52.5
1902-06-16,4.75,-73.25,189.0
1902-06-16,5.25,-74.75,55.600002
1902-06-16,5.25,-74.25,56.7
1902-06-16,5.25,-73.75,31.4
1902-06-16,5.25,-73.25,66.200005
1902-07-16,3.75,-74.75,22.6
1902-07-16,3.75,-74.25,48.9
1902-07-16,3.75,-73.75,148.2
1902-07-16,3.75,-73.25,104.5
1902-07-16,4.25,-74.75,20.7
1902-07-16,4.25,-74.25,33.3
1902-07-16,4.25,-73.75,177.40001
1902-07-16,4.25,-73.25,116.4
1902-07-16,4.75,-74.75,18.7
1902-07-16,4.75,-74.25,17.4
1902-07-16,4.75,-73.75,36.9
1902-07-16,4.75,-73.25,137.1
1902-07-16,5.25,-74.75,30.7
1902-07-16,5.25,-74.25,30.6
1902-07-16,5.25,-73.75,19.7
1902-07-16,5.25,-73.25,54.0
1902-08-16,3.75,-74.75,45.8
1902-08-16,3.75,-74.25,79.8
1902-08-16,3.75,-73.75,281.2
1902-08-16,3.75,-73.25,172.1
1902-08-16,4.25,-74.75,48.2
1902-08-16,4.25,-74.25,52.2
1902-08-16,4.25,-73.75,275.4
1902-08-16,4.25,-73.25,186.5
1902-08-16,4.75,-74.75,42.7
1902-08-16,4.75,-74.25,35.4
1902-08-16,4.75,-73.75,60.0
1902-08-16,4.75,-73.25,245.2
1902-08-16,5.25,-74.75,70.200005
1902-08-16,5.25,-74.25,68.5
1902-08-16,5.25,-73.75,37.3
1902-08-16,5.25,-73.25,91.4
1902-09-16,3.75,-74.75,88.200005
1902-09-16,3.75,-74.25,92.0
1902-09-16,3.75,-73.75,353.4
1902-09-16,3.75,-73.25,224.90001
1902-09-16,4.25,-74.75,115.6
1902-09-16,4.25,-74.25,69.6
1902-09-16,4.25,-73.75,275.30002
1902-09-16,4.25,-73.25,241.6
1902-09-16,4.75,-74.75,107.4
1902-09-16,4.75,-74.25,110.6
1902-09-16,4.75,-73.75,65.5
1902-09-16,4.75,-73.25,259.4
1902-09-16,5.25,-74.75,166.7
1902-09-16,5.25,-74.25,159.0
1902-09-16,5.25,-73.75,54.9
1902-09-16,5.25,-73.25,87.3
1902-10-16,3.75,-74.75,150.40001
1902-10-16,3.75,-74.25,100.9
1902-10-16,3.75,-73.75,303.30002
1902-10-16,3.75,-73.25,185.6
1902-10-16,4.25,-74.75,156.6
1902-10-16,4.25,-74.25,85.700005
1902-10-16,4.25,-73.75,196.6
1902-10-16,4.25,-73.25,215.2
1902-10-16,4.75,-74.75,145.6
1902-10-16,4.75,-74.25,86.9
1902-10-16,4.75,-73.75,72.6
1902-10-16,4.75,-73.25,160.1
1902-10-16,5.25,-74.75,204.2
1902-10-16,5.25,-74.25,150.90001
