time,longitude,latitude,tp
1992-07-01,-73.7,4.6,12.006439
1992-08-01,-73.7,4.6,7.98998
1992-09-01,-73.7,4.6,6.1925797
1992-10-01,-73.7,4.6,6.2817707
1992-11-01,-73.7,4.6,9.033285
1992-12-01,-73.7,4.6,7.114254
1993-01-01,-73.7,4.6,6.235823
1993-02-01,-73.7,4.6,9.244114
1993-03-01,-73.7,4.6,12.255102
1993-04-01,-73.7,4.6,13.363272
1993-05-01,-73.7,4.6,11.538841
1993-06-01,-73.7,4.6,12.130767
1993-07-01,-73.7,4.6,9.357632
1993-08-01,-73.7,4.6,8.365684
1993-09-01,-73.7,4.6,7.4034634
1993-10-01,-73.7,4.6,7.2088537
1993-11-01,-73.7,4.6,10.627977
1993-12-01,-73.7,4.6,4.1924567
1994-01-01,-73.7,4.6,7.8845696
1994-02-01,-73.7,4.6,11.344239
1994-03-01,-73.7,4.6,14.068723
1994-04-01,-73.7,4.6,12.271315
1994-05-01,-73.7,4.6,10.433369
1994-06-01,-73.7,4.6,9.936042
1994-07-01,-73.7,4.6,11.809126
1994-08-01,-73.7,4.6,7.9170017
1994-09-01,-73.7,4.6,7.5115786
1994-10-01,-73.7,4.6,9.392768
1994-11-01,-73.7,4.6,7.9143047
1994-12-01,-73.7,4.6,6.416917
1995-01-01,-73.7,4.6,3.4437628
1995-02-01,-73.7,4.6,5.10332
1995-03-01,-73.7,4.6,14.006556
1995-04-01,-73.7,4.6,12.884871
1995-05-01,-73.7,4.6,10.003619
1995-06-01,-73.7,4.6,11.463165
1995-07-01,-73.7,4.6,10.052263
1995-08-01,-73.7,4.6,8.027822
1995-09-01,-73.7,4.6,7.6142845
1995-10-01,-73.7,4.6,9.341412
1995-11-01,-73.7,4.6,8.319728
1995-12-01,-73.7,4.6,9.003557
1996-01-01,-73.7,4.6,7.0412755
1996-02-01,-73.7,4.6,9.260326
1996-03-01,-73.7,4.6,10.949619
1996-04-01,-73.7,4.6,12.287535
1996-05-01,-73.7,4.6,13.090282
1996-06-01,-73.7,4.6,11.779398
1996-07-01,-73.7,4.6,14.717407
1996-08-01,-73.7,4.6,6.1655493
1996-09-01,-73.7,4.6,6.770991
1996-10-01,-73.7,4.6,9.557642
1996-11-01,-73.7,4.6,7.527791
1996-12-01,-73.7,4.6,7.576443
1997-01-01,-73.7,4.6,10.084703
1997-02-01,-73.7,4.6,10.757714
1997-03-01,-73.7,4.6,9.411685
1997-04-01,-73.7,4.6,11.479378
1997-05-01,-73.7,4.6,13.290301
