lon,lat,time,pre,stn,spi_1,spi_3
-74.75,3.75,1980-01-16,122.1,8.0,-0.17517422299876964,
-74.75,3.75,1980-02-15,174.0,8.0,0.38189832303740645,
-74.75,3.75,1980-03-16,65.1,8.0,-1.0241342887979816,-0.39688413299600384
-74.75,3.75,1980-04-16,159.40001,8.0,0.23794609151213406,-0.18977839784307252
-74.75,3.75,1980-05-16,100.0,8.0,-0.46236555377811417,-0.6154202472268254
-74.75,3.75,1980-06-16,135.7,8.0,-0.015785147009282206,-0.20809763691294084
-74.75,3.75,1980-07-16,42.3,8.0,-1.5240091560044973,-0.9182841331678964
-74.75,3.75,1980-08-16,75.9,8.0,-0.8313087370074935,-1.0893285576710388
-74.75,3.75,1980-09-16,101.8,8.0,-0.4374242666252679,-1.3504203848272527
-74.75,3.75,1980-10-16,196.0,8.0,0.5844456119049064,-0.3259256540430767
-74.75,3.75,1980-11-16,179.3,8.0,0.43217038611077246,0.20722614023263172
-74.75,3.75,1980-12-16,252.0,8.0,1.0405589366432644,0.858811291868707
-74.75,3.75,1981-01-16,27.6,8.0,-1.9673116252102854,0.11944113675852547
-74.75,3.75,1981-02-15,107.8,8.0,-0.35642804552023877,-0.2499837853259602
-74.75,3.75,1981-03-16,122.1,8.0,-0.17517422299876964,-1.0630762895787262
-74.75,3.75,1981-04-16,285.9,8.0,1.2855425983405113,0.3867463663490617
-74.75,3.75,1981-05-16,304.0,8.0,1.4088388332418984,1.1819310330454695
-74.75,3.75,1981-06-16,129.90001,8.0,-0.08236924220521183,1.2104119899211994
-74.75,3.75,1981-07-16,62.7,8.0,-1.0700586313830045,0.29884258521736456
-74.75,3.75,1981-08-16,97.3,8.0,-0.5003681878751218,-0.8376228185787137
-74.75,3.75,1981-09-16,98.700005,8.0,-0.4805729320697989,-1.0543827374647117
-74.75,3.75,1981-10-16,225.8,8.0,0.8363356934795648,-0.06699014270240868
-74.75,3.75,1981-11-16,325.6,8.0,1.5500660553878718,0.9484367737195855
-74.75,3.75,1981-12-16,220.2,8.0,0.7907250416452221,1.3947063568012887
-74.75,3.75,1982-01-16,203.5,8.0,0.6500685432318338,1.3163700879120348
-74.75,3.75,1982-02-15,144.7,8.0,0.08383010881157162,0.6170023058290051
-74.75,3.75,1982-03-16,193.8,8.0,0.5648853972485327,0.5032762184113772
-74.75,3.75,1982-04-16,367.6,8.0,1.8087377341148123,1.1602542429488845
-74.75,3.75,1982-05-16,192.0,8.0,0.5487730444408462,1.3308837172747994
-74.75,3.75,1982-06-16,48.7,8.0,-1.3669555198306935,0.7824916032965581
-74.75,3.75,1982-07-16,33.600002,8.0,-1.7688285859162942,-0.9438526576379066
-74.75,3.75,1982-08-16,26.300001,8.0,-2.0145992875375014,-2.4942987351652532
-74.75,3.75,1982-09-16,83.3,8.0,-0.7102038221200441,-2.0718327648757002
-74.75,3.75,1982-10-16,260.7,8.0,1.105342334352092,-0.34506440959879403
-74.75,3.75,1982-11-16,260.2,8.0,1.1016569155005156,0.7658197104077662
